portalName,total,new_items,deleted_items
08b-42133,55,0,0
04b-24013,30,1,0
04b-24031,67,0,0
07d-02,86,0,0
05b-27163,61,0,0
08b-42091,37,5,0
11b-39151,95,4,4
11b-39153,36,0,0
11b-39009,26,0,0
05b-27123,39,0,0
05b-27027,21,0,0
05b-27121,0,0,0
09c-01,85,2,2
05b-27139,63,0,0
12b-17143,102,0,0
11b-39049,44,0,0
03b-19113,143,0,0
08b-42027,97,11,3
08c-02,248,0,0
04b-24021,110,0,0
05b-27167,11,0,0
02a-02,8,0,0
08b-42029,40,0,0
06f-01,45,3,5
08b-42043,30,0,0
04b-24005,141,5,7
12b-17043,55,0,0
04b-24009,10,0,0
04f-01,88,1,0
04b-24025,109,0,0
02b-17113,17,0,0
05b-27053,44,0,0
01c-02,1207,1,1
11b-39093,214,12,0
06a-01,422,4,12
05b-27057,5,0,0
05b-27137,8,1,1
05b-27017,0,0,0
01b-18163,64,0,0
12b-17097,1475,193,0
04c-02,35,1,1
05b-27011,14,0,0
04c-01,1219,11,6
06b-26125,272,0,0
11b-39035,32,0,0
05b-27119,12,0,0
05b-27019,91,0,0
08b-42003,63,2,2
02c-01,42,0,0
05c-01,144,2,7
03a-02,1133,17,78
08b-42039,83,0,0
07b-26161,8,0,0
04a-01,1355,10,0
11a-01,1107,5,17
