portalName,total,new_items,deleted_items
08b-42133,53,0,0
04b-24013,29,0,0
04b-24031,65,0,1
07d-02,86,2,0
07c-03,69,0,0
05b-27163,60,0,0
05b-27167,11,0,0
11b-39151,95,9,4
11b-39153,36,0,0
11b-39009,26,0,0
05b-27123,39,0,0
05b-27027,21,0,0
05b-27121,40,0,0
09c-01,66,0,0
12b-17143,102,0,0
08b-42091,32,0,0
11b-39049,44,0,0
03b-19113,143,0,0
08b-42027,89,0,0
08c-02,244,3,1
02a-02,8,0,0
04b-24025,109,1,0
06f-01,47,0,0
08b-42043,30,0,0
08b-42029,39,0,0
04b-24005,141,1,1
12b-17043,54,5,13
04b-24009,10,0,0
04f-01,120,0,4
02b-17113,17,1,0
05b-27053,45,0,0
01c-02,1054,0,0
11b-39093,202,0,0
06a-01,417,8,1
05b-27057,5,0,0
05b-27139,62,0,0
05b-27137,8,0,0
05b-27017,0,0,0
01b-18163,64,8,0
12b-17097,1475,0,0
04c-02,35,0,0
05b-27011,14,0,0
04c-01,1263,5,1
06b-26125,271,0,0
11b-39035,32,29,33
05b-27119,12,0,0
05b-27019,90,0,0
08b-42003,64,0,2
02c-01,42,0,0
05c-01,151,0,1
03a-02,1303,66,72
08b-42039,82,9,0
11a-01,1112,44,52
04a-01,1254,5,0
07b-26161,8,0,0
