portalName,total,new_items,deleted_items
01b-18163,57,0,0
01c-02,629,29,1
02b-17113,21,1,0
03a-02,1007,0,0
03a-03,244,0,0
03b-19113,137,3,0
04a-01,1506,18,1
04b-24003,167,4,1
04b-24005,201,6,1
04b-24009,16,0,0
04b-24013,34,0,0
04b-24021,112,0,0
04b-24025,99,7,0
04c-01,1707,30,1
04c-02,681,21,1
04f-01,159,3,0
05b-27011,0,0,1
05b-27019,103,3,0
05b-27023,7,0,0
05b-27027,19,2,1
05b-27053,28,0,0
05b-27119,72,0,0
05b-27121,39,1,1
05b-27123,36,5,0
05b-27137,8,0,0
05b-27145,8,8,0
05b-27167,13,2,1
06a-01,444,50,1
06b-26125,327,3,0
06f-01,44,26,1
07b-26161,11,0,0
07c-01,169,12,1
07d-02,66,0,0
08b-42003,57,1,0
08b-42027,83,1,1
08b-42029,55,0,0
08b-42039,294,0,0
08b-42043,32,0,0
08b-42091,95,0,1
08b-42133,55,1,1
08c-02,370,12,1
09c-01,115,0,0
10b-55003,9,0,0
10b-55021,84,0,0
10b-55025,6,1,1
10b-55025-01,47,0,0
10b-55035-01,39,1,0
10b-55059,48,9,1
10b-55079,60,0,0
10b-55087,154,3,1
10b-55093,5,1,1
10b-55101,107,4,1
10b-55109,3,3,0
10b-55111,80,0,0
10b-55125-01,33,0,0
10b-55133,75,32,1
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,17,0,0
10c-03,166,2,0
10c-04,22,0,0
11a-01,960,22,1
11b-39009,28,9,1
11b-39035,37,1,0
11b-39049,42,0,0
11b-39093,235,2,1
11b-39151,111,3,0
11b-39153,12,0,0
12b-17031,266,5,1
12b-17043,55,2,1
12b-17097,1588,0,0
12b-17143,127,0,0
12d-03,34,0,0
13a-01,199,7,1
13a-04,46,5,1
13b-31055,80,5,0
13b-31153,123,1,0
13c-01,216,4,0
13c-02,61,3,0
14a-01,684,23,1
99-1000,561,2,1
99-1100,477,36,1
